query_idx,latency_ms,recall_at_k,disk_sync_block_reads,disk_sync_read_bytes,disk_via_uring,disk_via_pread,prefetch_blocks_submitted,cache_hits,cache_misses
0,8.587622,0.000000,1965,8048640,0,1965,8032,224,1965
1,8.651470,0.700000,1886,7725056,0,1886,9584,278,1886
2,14.025191,1.000000,1902,7790592,0,1902,8656,255,1902
3,29.423026,0.100000,781,3198976,0,781,8352,966,781
4,81.350810,1.000000,1943,7958528,0,1943,8656,398,1943
5,73.907574,0.500000,1765,7229440,0,1765,8208,831,1765
6,42.962597,0.300000,972,3981312,0,972,8016,1467,972
7,52.836644,0.400000,1272,5210112,0,1272,8512,302,1272
8,87.100109,0.900000,2138,8757248,0,2138,8688,638,2138
9,31.392542,0.900000,714,2924544,0,714,8192,1525,714
10,47.349031,0.400000,1093,4476928,0,1093,8224,1635,1093
11,68.242134,0.600000,1594,6529024,0,1594,9232,708,1594
12,19.327273,0.000000,410,1679360,0,410,8640,1502,410
13,54.775078,0.800000,1263,5173248,0,1263,9440,1082,1263
14,83.080214,1.000000,1898,7774208,0,1898,8944,354,1898
15,53.746927,0.900000,1326,5431296,0,1326,9024,931,1326
16,17.848736,0.200000,386,1581056,0,386,8320,1845,386
17,54.295124,0.800000,1320,5406720,0,1320,9232,776,1320
18,71.023964,1.000000,1751,7172096,0,1751,8448,662,1751
19,10.785096,0.100000,198,811008,0,198,8656,1803,198
20,43.955120,1.000000,1079,4419584,0,1079,8496,683,1079
21,42.828505,1.000000,1033,4231168,0,1033,8416,1119,1033
22,32.741392,0.700000,768,3145728,0,768,8864,1269,768
23,18.282223,1.000000,385,1576960,0,385,8464,1868,385
24,38.595262,1.000000,916,3751936,0,916,8992,1650,916
25,40.431175,1.000000,958,3923968,0,958,8944,1119,958
26,42.607938,0.800000,1014,4153344,0,1014,9056,1405,1014
27,18.105225,1.000000,392,1605632,0,392,8432,1782,392
28,25.628065,0.800000,577,2363392,0,577,8496,1623,577
29,23.093982,0.900000,499,2043904,0,499,8608,738,499
30,22.373541,0.800000,480,1966080,0,480,8608,1753,480
31,45.891851,0.900000,1081,4427776,0,1081,8384,1371,1081
32,19.774434,1.000000,419,1716224,0,419,8320,1648,419
33,45.869883,0.800000,1107,4534272,0,1107,8144,900,1107
34,41.594509,1.000000,987,4042752,0,987,8528,1494,987
35,48.681508,0.100000,1094,4481024,0,1094,8400,1441,1094
36,27.700479,0.800000,571,2338816,0,571,8496,1933,571
37,46.208933,0.500000,1069,4378624,0,1069,7840,821,1069
38,38.416592,1.000000,892,3653632,0,892,8320,1362,892
39,60.110974,1.000000,1281,5246976,0,1281,8496,580,1281
40,54.697687,1.000000,1322,5414912,0,1322,8192,1105,1322
41,47.410635,0.500000,1135,4648960,0,1135,9760,391,1135
42,29.564404,1.000000,657,2691072,0,657,8880,1753,657
43,27.202689,0.900000,579,2371584,0,579,8096,2053,579
44,34.085584,0.000000,762,3121152,0,762,9072,1406,762
45,21.734584,1.000000,452,1851392,0,452,9360,1782,452
46,70.272186,0.800000,1680,6881280,0,1680,8992,400,1680
47,21.094478,0.300000,431,1765376,0,431,8384,2129,431
48,43.691435,1.000000,1022,4186112,0,1022,8560,1456,1022
49,8.564075,1.000000,137,561152,0,137,8320,1676,137
50,18.563132,1.000000,380,1556480,0,380,8560,1827,380
51,27.867499,1.000000,647,2650112,0,647,8688,1133,647
52,14.250335,0.900000,267,1093632,0,267,8448,1945,267
53,8.472901,1.000000,124,507904,0,124,8576,2233,124
54,27.030927,0.300000,643,2633728,0,643,8048,464,643
55,35.272574,0.700000,769,3149824,0,769,9232,1354,769
56,9.785311,0.800000,152,622592,0,152,9232,2155,152
57,49.569035,1.000000,1184,4849664,0,1184,9024,1006,1184
58,37.044711,1.000000,813,3330048,0,813,8960,1735,813
59,26.292081,0.800000,589,2412544,0,589,9312,785,589
60,15.363263,0.900000,285,1167360,0,285,8880,2167,285
61,13.348214,1.000000,275,1126400,0,275,8768,1426,275
62,28.538069,1.000000,664,2719744,0,664,8960,751,664
63,23.110898,0.900000,496,2031616,0,496,8480,1258,496
64,16.112852,1.000000,342,1400832,0,342,8608,1251,342
65,34.224890,0.900000,805,3297280,0,805,9248,818,805
66,16.193963,1.000000,342,1400832,0,342,8288,1270,342
67,28.082143,0.400000,651,2666496,0,651,9296,695,651
68,11.228631,0.900000,204,835584,0,204,8704,1441,204
69,12.964096,0.900000,210,860160,0,210,8320,2185,210
70,8.965959,1.000000,154,630784,0,154,9056,1156,154
71,23.847317,1.000000,519,2125824,0,519,8768,1173,519
72,27.511860,1.000000,578,2367488,0,578,8176,2361,578
73,20.264231,0.900000,405,1658880,0,405,8672,1914,405
74,7.436363,1.000000,104,425984,0,104,8224,2113,104
75,19.641206,1.000000,405,1658880,0,405,8832,2030,405
76,27.703295,0.500000,620,2539520,0,620,8432,1422,620
77,33.002649,1.000000,742,3039232,0,742,8608,1361,742
78,9.375753,1.000000,141,577536,0,141,8896,2402,141
79,12.546464,0.400000,250,1024000,0,250,8832,1182,250
80,11.197365,0.800000,197,806912,0,197,8416,1796,197
81,31.062500,1.000000,660,2703360,0,660,8384,1769,660
82,27.240100,1.000000,590,2416640,0,590,9408,1903,590
83,7.752168,1.000000,105,430080,0,105,8864,2134,105
84,10.094261,1.000000,138,565248,0,138,8592,2580,138
85,10.219072,1.000000,197,806912,0,197,8560,1320,197
86,7.599028,0.600000,127,520192,0,127,8400,1331,127
87,10.126354,0.800000,177,724992,0,177,10704,1846,177
88,13.085906,0.700000,245,1003520,0,245,9056,1669,245
89,29.970794,0.600000,670,2744320,0,670,9120,893,670
90,6.254877,1.000000,95,389120,0,95,8720,1445,95
91,24.415427,1.000000,507,2076672,0,507,8976,1377,507
92,17.476006,1.000000,344,1409024,0,344,8672,2041,344
93,10.564170,1.000000,186,761856,0,186,8736,1763,186
94,6.972512,1.000000,123,503808,0,123,8736,1327,123
95,23.431864,0.300000,504,2064384,0,504,8592,1477,504
96,17.177912,1.000000,329,1347584,0,329,8640,2292,329
97,6.398731,1.000000,83,339968,0,83,8400,2046,83
98,5.750634,1.000000,87,356352,0,87,9136,1286,87
99,9.385604,1.000000,161,659456,0,161,8512,2204,161
100,9.376164,0.800000,140,573440,0,140,8832,1813,140
101,9.670227,1.000000,181,741376,0,181,8784,1534,181
102,7.988536,0.900000,112,458752,0,112,8784,2197,112
103,44.408445,0.900000,1018,4169728,0,1018,9120,1280,1018
104,6.809049,1.000000,108,442368,0,108,8272,1599,108
105,40.620317,0.200000,920,3768320,0,920,9920,961,920
106,4.905752,0.900000,61,249856,0,61,8736,1613,61
107,9.896150,1.000000,192,786432,0,192,8704,1294,192
108,2.929682,0.900000,28,114688,0,28,8416,1096,28
109,15.966176,0.400000,336,1376256,0,336,8608,1242,336
110,5.916716,0.400000,98,401408,0,98,8384,1324,98
111,9.986973,0.900000,137,561152,0,137,8432,2678,137
112,7.528887,0.800000,129,528384,0,129,8544,1383,129
113,15.434550,0.500000,301,1232896,0,301,8608,1836,301
114,4.148290,1.000000,49,200704,0,49,9200,1541,49
115,7.813115,0.100000,107,438272,0,107,8608,2051,107
116,5.865746,1.000000,112,458752,0,112,8912,972,112
117,12.425964,1.000000,205,839680,0,205,8080,2643,205
