query_idx,latency_ms,recall_at_k,disk_sync_block_reads,disk_sync_read_bytes,disk_via_uring,disk_via_pread,prefetch_blocks_submitted,cache_hits,cache_misses
0,8.143910,0.000000,2152,8814592,0,2152,6720,37,2152
1,7.597262,0.700000,2090,8560640,0,2090,6512,74,2090
2,8.255930,1.000000,2088,8552448,0,2088,6496,69,2088
3,11.358262,0.100000,1497,6131712,0,1497,6656,250,1497
4,9.710048,1.000000,2215,9072640,0,2215,6560,126,2215
5,11.407244,0.500000,2288,9371648,0,2288,6528,308,2288
6,11.859096,0.300000,1659,6795264,0,1659,6848,780,1659
7,6.965317,0.400000,1473,6033408,0,1473,6960,101,1473
8,11.513906,0.900000,2598,10641408,0,2598,6480,178,2598
9,12.311431,0.900000,1588,6504448,0,1588,6496,651,1588
10,13.867814,0.400000,1947,7974912,0,1947,6832,781,1947
11,10.421977,0.600000,2103,8613888,0,2103,6480,199,2103
12,10.258927,0.000000,915,3747840,0,915,6576,997,915
13,12.910635,0.800000,2011,8237056,0,2011,6560,334,2011
14,8.887335,1.000000,2132,8732672,0,2132,6528,120,2132
15,10.701442,0.900000,1884,7716864,0,1884,6496,373,1884
16,8.689759,0.200000,847,3469312,0,847,6864,1384,847
17,9.719520,0.800000,1760,7208960,0,1760,6624,336,1760
18,10.561463,1.000000,2199,9007104,0,2199,6544,214,2199
19,6.870139,0.100000,487,1994752,0,487,6640,1514,487
20,9.525804,1.000000,1575,6451200,0,1575,6512,187,1575
21,12.705749,1.000000,1707,6991872,0,1707,6560,445,1707
22,11.030096,0.700000,1505,6164480,0,1505,6464,532,1505
23,9.897918,1.000000,998,4087808,0,998,6528,1255,998
24,12.161049,1.000000,1665,6819840,0,1665,6544,901,1665
25,10.226793,1.000000,1531,6270976,0,1531,6576,546,1531
26,12.389731,0.800000,1719,7041024,0,1719,6512,700,1719
27,9.684091,1.000000,976,3997696,0,976,6448,1198,976
28,10.695618,0.800000,1250,5120000,0,1250,6528,950,1250
29,7.257635,0.900000,917,3756032,0,917,6544,320,917
30,10.652362,0.800000,1167,4780032,0,1167,6496,1066,1167
31,11.607332,0.900000,1669,6836224,0,1669,6496,783,1669
32,9.299582,1.000000,921,3772416,0,921,6480,1146,921
33,9.252490,0.800000,1527,6254592,0,1527,6704,480,1527
34,11.203711,1.000000,1581,6475776,0,1581,6432,900,1581
35,11.838442,0.100000,1693,6934528,0,1693,6912,842,1693
36,9.956385,0.800000,1068,4374528,0,1068,6768,1436,1068
37,10.214962,0.500000,1548,6340608,0,1548,6672,342,1548
38,11.829623,1.000000,1597,6541312,0,1597,6576,657,1597
39,11.379555,1.000000,1677,6868992,0,1677,6512,184,1677
40,11.093500,1.000000,1931,7909376,0,1931,6480,496,1931
41,6.348191,0.500000,1382,5660672,0,1382,6528,144,1382
42,9.966488,1.000000,1254,5136384,0,1254,6512,1156,1254
43,11.491029,0.900000,1276,5226496,0,1276,6480,1356,1276
44,11.804321,0.000000,1538,6299648,0,1538,7680,630,1538
45,9.185139,1.000000,973,3985408,0,973,6496,1261,973
46,7.967959,0.800000,1915,7843840,0,1915,6560,165,1915
47,10.854176,0.300000,1102,4513792,0,1102,6528,1458,1102
48,12.261829,1.000000,1798,7364608,0,1798,6512,680,1798
49,5.692092,1.000000,415,1699840,0,415,6496,1398,415
50,9.110443,1.000000,923,3780608,0,923,6496,1284,923
51,9.721178,1.000000,1270,5201920,0,1270,6480,510,1270
52,8.717919,0.900000,753,3084288,0,753,6496,1459,753
53,6.804167,1.000000,389,1593344,0,389,6528,1968,389
54,5.372995,0.300000,890,3645440,0,890,6576,217,890
55,11.407109,0.700000,1444,5914624,0,1444,7968,679,1444
56,7.073334,0.800000,517,2117632,0,517,6608,1790,517
57,10.884514,1.000000,1799,7368704,0,1799,6544,391,1799
58,12.554119,1.000000,1589,6508544,0,1589,6512,959,1589
59,7.745199,0.800000,1075,4403200,0,1075,6560,299,1075
60,8.652178,0.900000,740,3031040,0,740,6480,1712,740
61,7.043886,1.000000,689,2822144,0,689,6480,1012,689
62,8.190140,1.000000,1092,4472832,0,1092,6576,323,1092
63,8.661226,0.900000,1030,4218880,0,1030,6528,724,1030
64,8.353039,1.000000,825,3379200,0,825,6512,768,825
65,8.833016,0.900000,1321,5410816,0,1321,6560,302,1321
66,7.324985,1.000000,738,3022848,0,738,6512,874,738
67,7.003339,0.400000,1035,4239360,0,1035,6544,311,1035
68,7.498700,0.900000,624,2555904,0,624,6464,1021,624
69,8.434352,0.900000,620,2539520,0,620,6512,1775,620
